csid	covv_accession_id
3031401941	EPI_ISL_1095252
3031401940	EPI_ISL_1094318
3002650487	EPI_ISL_1528292
3031401852	EPI_ISL_1094327
3002228925	EPI_ISL_1225954
3002348973	EPI_ISL_1226262
3002647691	EPI_ISL_1798388
3002348073	EPI_ISL_1094331
3002650083	EPI_ISL_1678113
3002349050	EPI_ISL_1447048
3002650144	EPI_ISL_1678100
3002349914	EPI_ISL_1318550
3031323829	
3002350603	EPI_ISL_1318621
3002350446	EPI_ISL_1318419
3031323836	EPI_ISL_1446929
3002350871	EPI_ISL_1446653
3031322600	EPI_ISL_747126
3002349806	EPI_ISL_1318654
3031323232	EPI_ISL_903798
3002349866	EPI_ISL_1318342
3002650090	EPI_ISL_1678306
3031322526	EPI_ISL_747054
3002350869	EPI_ISL_1446652
3031322749	EPI_ISL_751652
3002347745	EPI_ISL_1094348
3002348862	EPI_ISL_1226204
3002650610	EPI_ISL_1528361
3031323811	EPI_ISL_1711713
3031323239	EPI_ISL_903793
3002349915	EPI_ISL_1318555
3002647738	EPI_ISL_1798525
3002347317	EPI_ISL_1094250
3031401884	EPI_ISL_1094868
3002350136	EPI_ISL_1446420
3002649910	EPI_ISL_1516318
3002348826	EPI_ISL_1226175
3002348946	EPI_ISL_1226241
3002348987	EPI_ISL_1226273
3002229210	EPI_ISL_1094964
3002351943	
3002350725	EPI_ISL_1446624
3002350734	EPI_ISL_1446625
3002647781	EPI_ISL_1798532
3002647774	EPI_ISL_1798612
3031324448	EPI_ISL_1094273
3002350039	EPI_ISL_1318373
3002649660	EPI_ISL_1516273
3031323749	EPI_ISL_1516343
3002650266	EPI_ISL_1528517
3002651370	
3002650943	EPI_ISL_1824024
3002229072	
3002229060	
3002351254	EPI_ISL_1094352
3002351223	EPI_ISL_1095065
3002349171	
3002131542	EPI_ISL_1446751
3031324133	EPI_ISL_1094920
3002349712	EPI_ISL_1318691
3002131531	EPI_ISL_1695910
3002650236	EPI_ISL_1528378
3031322916	EPI_ISL_751717
3002348799	EPI_ISL_1226154
3002351550	EPI_ISL_1226356
3031323976	EPI_ISL_1711786
3031324277	
3002649515	EPI_ISL_1516276
3002648348	EPI_ISL_1823610
3002349931	
3002647958	
3002350098	
3031323903	EPI_ISL_1446935
3002649691	
3002350847	EPI_ISL_1446689
3002351209	EPI_ISL_1094282
3002350690	EPI_ISL_1446571
3002647876	EPI_ISL_1823637
3002131699	EPI_ISL_1446827
3031324169	EPI_ISL_1094745
3002647859	EPI_ISL_1824000
3002131515	EPI_ISL_1695896
3002348091	EPI_ISL_1094382
3002348126	
3002651253	EPI_ISL_1711774
3031324232	EPI_ISL_1094322
3002349116	EPI_ISL_1272877
3002131607	EPI_ISL_1446794
3002648307	EPI_ISL_1823735
3031324178	
3002349687	EPI_ISL_1318393
3002650607	EPI_ISL_1528359
3031401919	EPI_ISL_1094238
3031401863	EPI_ISL_1094984
3031401860	EPI_ISL_1094988
3002228864	
3002347754	EPI_ISL_1095198
3002349038	EPI_ISL_1272725
3002647669	EPI_ISL_1798320
3002349590	EPI_ISL_1272912
3031323852	EPI_ISL_1516324
3002647659	EPI_ISL_1798424
3031324354	EPI_ISL_1095084
3031322588	EPI_ISL_747114
3002351906	EPI_ISL_1447031
3002649781	
3031401663	EPI_ISL_1226410
3002351213	EPI_ISL_1095359
3002349589	EPI_ISL_1272907
3031401826	EPI_ISL_1095089
3002350485	EPI_ISL_1446969
3002650437	
3031323878	EPI_ISL_1446873
3031322763	EPI_ISL_751701
3002348857	EPI_ISL_1226200
3002650612	EPI_ISL_1528347
3002650523	
3031322822	EPI_ISL_751607
3002350781	EPI_ISL_1695851
3031323843	EPI_ISL_1516341
3002647675	EPI_ISL_1798319
3031323756	EPI_ISL_1711767
3031322991	
3002350522	EPI_ISL_1446948
3002649880	EPI_ISL_1516302
3002350577	EPI_ISL_1446987
3002647567	EPI_ISL_1823682
3002349410	EPI_ISL_1273001
3031322578	EPI_ISL_747104
3031324206	EPI_ISL_1225995
3031322542	EPI_ISL_747070
3002350662	
3002647658	EPI_ISL_1798358
3002647664	EPI_ISL_1798462
3002351999	EPI_ISL_1272716
3002651135	EPI_ISL_1678351
3031323034	EPI_ISL_751670
3031322543	EPI_ISL_747071
3002650515	EPI_ISL_1528477
3002651380	EPI_ISL_1711845
3002650463	
3002350104	EPI_ISL_1446364
3002648422	EPI_ISL_1823618
3002348781	EPI_ISL_1226138
3002348765	EPI_ISL_1226126
3002351904	EPI_ISL_1447033
3002651431	EPI_ISL_1711833
3002351475	EPI_ISL_1226302
3031323938	
3002131539	
3031323906	EPI_ISL_1446933
3002348548	
3031323912	EPI_ISL_1225889
3031322900	EPI_ISL_751680
3002350995	
3002649686	EPI_ISL_1516243
3002348472	
3031324224	EPI_ISL_1226004
3002348685	EPI_ISL_1226071
3002350061	
3031323603	EPI_ISL_1094972
3002347613	EPI_ISL_1094797
3002650875	EPI_ISL_1678273
3031324452	EPI_ISL_1094301
3031323970	EPI_ISL_1711780
3031323579	EPI_ISL_903748
3002349149	EPI_ISL_1272839
3031324345	EPI_ISL_1226011
3031322551	EPI_ISL_747079
3031322986	EPI_ISL_751691
3002648492	EPI_ISL_1824026
3031323398	EPI_ISL_1711750
3031323961	EPI_ISL_1711753
3031323602	EPI_ISL_1094970
3002649953	
3002647763	EPI_ISL_1798500
3002648523	EPI_ISL_1823854
3002347855	EPI_ISL_1095173
3002347846	EPI_ISL_1095175
3002649512	EPI_ISL_1516283
3002650912	EPI_ISL_1823760
3002650901	EPI_ISL_1823749
3031322534	EPI_ISL_747062
3002350859	EPI_ISL_1446644
3002347589	EPI_ISL_1094838
3002349151	EPI_ISL_1272824
3031323747	EPI_ISL_1516345
3031324348	EPI_ISL_1094754
3002649746	
3002647608	EPI_ISL_1823816
3002648455	EPI_ISL_1823796
3031401879	EPI_ISL_1094870
3002647603	EPI_ISL_1824031
3031323895	EPI_ISL_1446925
3002229070	
3002347512	EPI_ISL_1095123
3002351236	EPI_ISL_1095046
3002348575	
3002351678	EPI_ISL_1318435
3002351674	EPI_ISL_1318441
3002347585	EPI_ISL_1094748
3002348622	EPI_ISL_1226014
3002351599	
3002350267	EPI_ISL_1446444
3002349009	EPI_ISL_1226284
3002650239	EPI_ISL_1528384
3031322917	EPI_ISL_751560
3002348679	EPI_ISL_1226065
3002648234	EPI_ISL_1823954
3002348809	EPI_ISL_1226163
3031323977	
3031324260	EPI_ISL_1095169
3002647973	EPI_ISL_1798696
3002647969	EPI_ISL_1798730
3002349499	
3002350978	
3002649702	EPI_ISL_1516169
3002350342	EPI_ISL_1318426
3002347454	EPI_ISL_1094574
3002350338	EPI_ISL_1318360
3002351585	EPI_ISL_1226386
3031323363	EPI_ISL_903680
3002350266	EPI_ISL_1446436
3002349944	EPI_ISL_1318452
3002651301	EPI_ISL_1711929
3002649757	
3002347943	
3002347744	EPI_ISL_1094583
3002349801	EPI_ISL_1318665
3002650699	
3002349386	
3002650316	
3002349551	
3002351509	EPI_ISL_1226326
3031323426	
3031324264	
3031323454	EPI_ISL_903852
3002647922	EPI_ISL_1798822
3002647627	EPI_ISL_1798420
3031324064	EPI_ISL_1225938
3031323121	EPI_ISL_1446727
3002650949	EPI_ISL_1823827
3002648332	EPI_ISL_1823830
3002351679	EPI_ISL_1318439
3031322881	EPI_ISL_751734
3002351604	EPI_ISL_1226401
3002348677	EPI_ISL_1226063
3002649588	EPI_ISL_1516209
3002650852	EPI_ISL_1678261
3002229211	EPI_ISL_1094525
3002351945	
3002650210	EPI_ISL_1528501
3002649940	EPI_ISL_1516298
3031324439	EPI_ISL_1095241
3031324279	
3031323464	EPI_ISL_903790
3002648072	EPI_ISL_1798678
3031401880	EPI_ISL_1094863
3002351961	
3002650041	EPI_ISL_1528402
3002349051	EPI_ISL_1272794
3002350480	EPI_ISL_1446997
3002347683	EPI_ISL_1095330
3002348780	EPI_ISL_1226137
3002349583	EPI_ISL_1272896
3002350780	EPI_ISL_1695854
3002647660	EPI_ISL_1798450
3031401641	EPI_ISL_1446594
